,sepal_length,sepal_width,petal_length,petal_width
1,51,35,14,2
2,49,30,14,2
3,47,32,13,2
4,46,31,15,2
5,50,36,14,2
6,54,39,17,4
7,46,34,14,3
8,50,34,15,2
9,44,29,14,2
10,49,31,15,1
11,54,37,15,2
12,48,34,16,2
13,48,30,14,1
14,43,30,11,1
15,58,40,12,2
16,57,44,15,4
17,54,39,13,4
18,51,35,14,3
19,57,38,17,3
20,51,38,15,3
21,54,34,17,2
22,51,37,15,4
23,46,36,10,2
24,51,33,17,5
25,48,34,19,2
26,50,30,16,2
27,50,34,16,4
28,52,35,15,2
29,52,34,14,2
30,47,32,16,2
31,48,31,16,2
32,54,34,15,4
33,52,41,15,1
34,55,42,14,2
35,49,31,15,1
36,50,32,12,2
37,55,35,13,2
38,49,31,15,1
39,44,30,13,2
40,51,34,15,2
41,50,35,13,3
42,45,23,13,3
43,44,32,13,2
44,50,35,16,6
45,51,38,19,4
46,48,30,14,3
47,51,38,16,2
48,46,32,14,2
49,53,37,15,2
50,50,33,14,2
51,70,32,47,14
52,64,32,45,15
53,69,31,49,15
54,55,23,40,13
55,65,28,46,15
56,57,28,45,13
57,63,33,47,16
58,49,24,33,10
59,66,29,46,13
60,52,27,39,14
61,50,20,35,10
62,59,30,42,15
63,60,22,40,10
64,61,29,47,14
65,56,29,36,13
66,67,31,44,14
67,56,30,45,15
68,58,27,41,10
69,62,22,45,15
70,56,25,39,11
71,59,32,48,18
72,61,28,40,13
73,63,25,49,15
74,61,28,47,12
75,64,29,43,13
76,66,30,44,14
77,68,28,48,14
78,67,30,50,17
79,60,29,45,15
80,57,26,35,10
81,55,24,38,11
82,55,24,37,10
83,58,27,39,12
84,60,27,51,16
85,54,30,45,15
86,60,34,45,16
87,67,31,47,15
88,63,23,44,13
89,56,30,41,13
90,55,25,40,13
91,55,26,44,12
92,61,30,46,14
93,58,26,40,12
94,50,23,33,10
95,56,27,42,13
96,57,30,42,12
97,57,29,42,13
98,62,29,43,13
99,51,25,30,11
100,57,28,41,13
101,63,33,60,25
102,58,27,51,19
103,71,30,59,21
104,63,29,56,18
105,65,30,58,22
106,76,30,66,21
107,49,25,45,17
108,73,29,63,18
109,67,25,58,18
110,72,36,61,25
111,65,32,51,20
112,64,27,53,19
113,68,30,55,21
114,57,25,50,20
115,58,28,51,24
116,64,32,53,23
117,65,30,55,18
118,77,38,67,22
119,77,26,69,23
120,60,22,50,15
121,69,32,57,23
122,56,28,49,20
123,77,28,67,20
124,63,27,49,18
125,67,33,57,21
126,72,32,60,18
127,62,28,48,18
128,61,30,49,18
129,64,28,56,21
130,72,30,58,16
131,74,28,61,19
132,79,38,64,20
133,64,28,56,22
134,63,28,51,15
135,61,26,56,14
136,77,30,61,23
137,63,34,56,24
138,64,31,55,18
139,60,30,48,18
140,69,31,54,21
141,67,31,56,24
142,69,31,51,23
143,58,27,51,19
144,68,32,59,23
145,67,33,57,25
146,67,30,52,23
147,63,25,50,19
148,65,30,52,20
149,62,34,54,23
150,59,30,51,18
